Student,Project,Assigned
R_2wRctfxftGZt0qR,Fully-Loaded Concrete Re-Use Cost Benefit Analysis with Operational Data,1.0
R_1I71MeFEsxpQW7j,Market assessment and strategic recommendations for biotechnologically engineered sustainable non-toxic professional cleaning products,1.0
R_1kSpxKRHgMumqP3,Time-Distance Engine Optimization,1.0
R_xFNgLRVnEwaDS7f,Designing Construction and Demolition Waste (CDW) Materials Dating Site Prototype,1.0
R_2ulcq87MoqEZ1Wp,Trillion Oyster - Blue Carbon Project,1.0
R_3paOM0SdSZjAjVk,Prospectus Data extraction,1.0
R_2pYRKlbZglpZPlZ,International Go-to-Market Strategy for Global X-ray Technology Company,1.0
R_djpzi5q5c6OuUE1,Trillion Oyster - Blue Carbon Project,1.0
R_2Ppo5ZQZLy7nTxS,Locating and Navigating Assisted Living Services,1.0
R_ZCbPi845COtSotX,Locating and Navigating Assisted Living Services,1.0
R_241KZMlpSweeU9V,Business Plan for STEM Non-Profit,1.0
R_3iUdjcLE5rtQrm8,Trillion Oyster - Blue Carbon Project,1.0
R_3qfjHypBoX1sbvB,Business Plan for STEM Non-Profit,1.0
R_27B5QYdM5JaZehP,Examining Service Applications for Large Language Models and Generative A.I.,1.0
R_25zKKTGULW9rz63,Business Model Validation and Technology-enabled Growth Strategy,1.0
R_5nmDHGLzPetmkY9,Trillion Oyster - Blue Carbon Project,1.0
R_2zJeVGrxPWTtksw,Analysis of ESG ratings,1.0
R_zZSkrBlJYwoZNjb,Prospectus Data extraction,1.0
R_XvQ4EW6zQBRs78B,Business Plan for STEM Non-Profit,1.0
R_1pVGXSvc5RZEAt2,Need Analysis for Future Capstone Projects,1.0
R_11gSzpskdZbXdMx,Improving Operations in a Direct to Consumer (D2C) Facility,1.0
R_1o28cILswMiWJWr,Examining Better Company Forecasting,1.0
R_2rurgKo4elPRbpd,Acquisition strategy for an international speciality manufacturer,1.0
R_3kkcqSDbwCgAKbF,Establishing Database Infrastructure and Document Data Extraction tooling for Data-Driven Venture Capital,1.0
R_2RaFgTuAHiC812Y,Digital Supply Chain Transformation,1.0
R_ZgizhSyx1mPxZXr,Prospectus Data extraction,1.0
R_12ECJ3JLmoTmjUI,Examining Potential Gaps in Medical Documentation and Billing Behaviors ,1.0
R_1Ivltd0WobDDWR0,Blockchain Sensitivity Analysis,1.0
R_12Eb1aR0jwB8IaC,Healthcare Business Process Model  - Primary Care,1.0
R_2rpxdwy48hzLLBi,Examining the Implementation of Virtual-First Healthcare Technologies,1.0
R_3J1NR7iR2DGePIB,Designing Construction and Demolition Waste (CDW) Materials Dating Site Prototype,1.0
R_1msB4pAcGVzQIIc,International Go-to-Market Strategy for Global X-ray Technology Company,1.0
R_27rFVaI6EWDHW8w,Market assessment and strategic recommendations for biotechnologically engineered sustainable non-toxic professional cleaning products,1.0
